Amazon_Product_Name,Flipkart_Product_Name,Amazon_Color,Flipkart_Color,Product_Name_Similarity,Brand_Similarity,Color_Similarity
Bajaj Majesty 1603 T 16-Litre Oven Toaster Grill (White) & Bajaj Caldia Storage 15 Litre Vertical Water Heater (White),"BAJAJ 20 L Grill Microwave Oven  (2005ETB, White)",white,White,0.5,1,1
"Bajaj 1603 T Oven Toaster Grill Combo,16 Liters,White","BAJAJ 20 L Grill Microwave Oven  (2005ETB, White)",White,White,0.54,1,1
"Bajaj 17L Solo Microwave Oven (1702 MT, White), Timer","BAJAJ 17 L Solo Microwave Oven  (1701MT, White)",White,White,0.68,1,1
"Bajaj 17L Solo Microwave Oven (1702 MT, White), Timer","BAJAJ 17 L Solo Microwave Oven  (1702MT, White)",White,White,0.68,1,1
"Bajaj 17L Solo Microwave Oven (1702 MT, White), Timer","BAJAJ 20 L Grill Microwave Oven  (2005ETB, White)",White,White,0.54,1,1
"Bajaj 17L Solo Microwave Oven (1702 MT, White), Timer","BAJAJ 17 L Solo Microwave Oven  (1701MT, White)",White,White,0.68,1,1
"Bajaj 17L Solo Microwave Oven (1702 MT, White), Timer","BAJAJ 17 L Solo Microwave Oven  (1702MT, White)",White,White,0.68,1,1
"Bajaj 17L Solo Microwave Oven (1702 MT, White), Timer","BAJAJ 20 L Grill Microwave Oven  (2005ETB, White)",White,White,0.54,1,1
"Godrej 19 L Digital Display Convection Microwave Oven With 125 Instacook Menus (GMX 519 CP1 PZ, White Rose, Stainless Steel Cavity With Godrej Instachef App)","Godrej 19 L Stainless Steel Cavity, With 125 Insta Cook Menus, Convection Microwave Oven  (GMX 519 CP1 PZ, White Rose)",White Rose,White,0.85,1,0.71
"Godrej 19 L Digital Display Convection Microwave Oven With 125 Instacook Menus (GMX 519 CP1 PZ, White Rose, Stainless Steel Cavity With Godrej Instachef App)","Godrej 19 L Convection Microwave Oven  (GMX 519 CP1 PZ - White Rose, White Rose)",White Rose,White Rose,0.64,1,1
"Haier 20 L Solo Microwave Oven (HIL2001MFPH, Black)","Haier 20 L Solo Microwave Oven  (HIL2001MWPH, Black)",Black,Black,0.93,1,1
"Haier 20 L Solo Microwave Oven (HIL2001MFPH, Black)","Haier 23 L Convection Microwave Oven  (HIL2301CBSB, Black)",Black,"Black, Silver",0.57,1,0.71
"Haier 20 L Solo Microwave Oven (HIL2001MFPH, Black)","Haier 20 L Solo Microwave Oven  (HIL2001MFPH, Black)",Black,Black,1,1,1
"Haier 20 L Solo Microwave Oven (HIL2001MFPH, Black)","Haier 20 L Grill Microwave Oven  (HIL2001GBPH, Black)",Black,Black,0.77,1,1
"Haier 20 L Solo Microwave Oven (HIL2001MFPH, Black)","Haier 30 L Convection Microwave Oven  (HIL3001CBSH, Black)",Black,Black,0.57,1,1
"Haier 20 L Solo Microwave Oven (HIL2001MFPH, Black)","Haier 30 L Convection Microwave Oven  (HIL3001CBSH:IN, Black)",Black,Black,0.53,1,1
"Haier 20 L Solo Microwave Oven (HIL2001MFPH, Black)","Haier 23 L Convection Microwave Oven  (HIL2302CRSH:IN/MWO/DL, Black)",Black,"Black, Silver",0.57,1,0.71
"Haier 20 L Solo Microwave Oven (HIL2001MFPH, Black)","Haier 25 L Convection Microwave Oven  (HIL2501CBSH, Black)",Black,Black,0.57,1,1
IFB 20 litre Convection Microwave Oven (Black),"IFB 30 L Convection Microwave Oven  (30BRC2, Black)",Black,Black,0.71,1,1
IFB 20 litre Convection Microwave Oven (Black),"IFB 20 L Convection Microwave Oven  (20BC5, Black)",Black,Black,0.86,1,1
IFB 20 litre Convection Microwave Oven (Black),"IFB 20 L Solo Microwave Oven  (20PM-MEC2B, BLACK)",Black,Black,0.77,1,1
IFB 20 litre Convection Microwave Oven (Black),"IFB 30 L Oil free cooking microwave with steam clean Convection Microwave Oven  (30BC5, Black)",Black,Black,0.57,1,1
IFB 20 litre Convection Microwave Oven (Black),"IFB 23 L Convection Microwave Oven  (23BC4, Black)",Black,Black,0.71,1,1
IFB 20 litre Convection Microwave Oven (Black),"IFB 30 L Convection Microwave Oven  (MICRO WAVE OVEN 30FRC2, Black)",Black,Black,0.72,1,1
IFB 20 litre Convection Microwave Oven (Black),"IFB 20 L Convection Microwave Oven  (20BC4, Black)",Black,Black,0.93,1,1
IFB 20 litre Convection Microwave Oven (Black),"IFB 28 L Convection Microwave Oven  (28BC5, Black)",Black,Black,0.77,1,1
IFB 20 litre Convection Microwave Oven (Black),"IFB 25 L Convection Microwave Oven  (25BC3, Black)",Black,Black,0.77,1,1
IFB 20 litre Convection Microwave Oven (Black),"IFB 25 L Solo Microwave Oven  (25PM2S, BLACK, SILVER)",Black,"Silver, Black",0.53,1,0.71
IFB 20 litre Convection Microwave Oven (Black),"IFB 25 L Convection Microwave Oven  (25BC3, Black)",Black,Black,0.77,1,1
IFB 20 litre Convection Microwave Oven (Black),"IFB 25 L Convection Microwave Oven  (25BC4, Black)",Black,"Black, Grey",0.71,1,0.71
IFB 20 litre Convection Microwave Oven (Black),"IFB 30 L Convection & Grill Microwave Oven  (30BRC3, BLACK)",Black,Black,0.71,1,1
IFB 20 litre Convection Microwave Oven (Black),"IFB 23 L Convection Microwave Oven  (23BC5, Black)",Black,Black,0.71,1,1
IFB 20 litre Convection Microwave Oven (Black),"IFB 20 L Convection Microwave Oven  (20BC4 With Touch Key Pad 1200 Watt, Black)",Black,Black,0.76,1,1
"IFB 20 L Convection Microwave Oven (20BC5, Black)","IFB 30 L Convection Microwave Oven  (30BRC2, Black)",Black,Black,0.71,1,1
"IFB 20 L Convection Microwave Oven (20BC5, Black)","IFB 20 L Convection Microwave Oven  (20BC5, Black)",Black,Black,1,1,1
