Amazon_Product_Name,Flipkart_Product_Name,Brand_Similarity,Color_Similarity,Capacity_Similarity,Product_Name_Similarity
"Bajaj 17L Solo Microwave Oven (1702 MT, White), Timer","BAJAJ 17 L Solo Microwave Oven  (1701MT, White)",1.0,1.0,1.0,0.68
"Bajaj 17L Solo Microwave Oven (1702 MT, White), Timer","BAJAJ 17 L Solo Microwave Oven  (1702MT, White)",1.0,1.0,1.0,0.68
"Bajaj 17L Solo Microwave Oven (1702 MT, White), Timer","BAJAJ 17 L Solo Microwave Oven  (1701MT, White)",1.0,1.0,1.0,0.68
"Bajaj 17L Solo Microwave Oven (1702 MT, White), Timer","BAJAJ 17 L Solo Microwave Oven  (1702MT, White)",1.0,1.0,1.0,0.68
"Godrej 19 L Digital Display Convection Microwave Oven With 125 Instacook Menus (GMX 519 CP1 PZ, White Rose, Stainless Steel Cavity With Godrej Instachef App)","Godrej 19 L Stainless Steel Cavity, With 125 Insta Cook Menus, Convection Microwave Oven  (GMX 519 CP1 PZ, White Rose)",1.0,0.71,1.0,0.85
"Godrej 19 L Digital Display Convection Microwave Oven With 125 Instacook Menus (GMX 519 CP1 PZ, White Rose, Stainless Steel Cavity With Godrej Instachef App)","Godrej 19 L Convection Microwave Oven  (GMX 519 CP1 PZ - White Rose, White Rose)",1.0,1.0,1.0,0.64
"Haier 20 L Solo Microwave Oven (HIL2001MFPH, Black)","Haier 20 L Solo Microwave Oven  (HIL2001MWPH, Black)",1.0,1.0,1.0,0.93
"Haier 20 L Solo Microwave Oven (HIL2001MFPH, Black)","Haier 20 L Solo Microwave Oven  (HIL2001MFPH, Black)",1.0,1.0,1.0,1.0
"Haier 20 L Solo Microwave Oven (HIL2001MFPH, Black)","Haier 20 L Grill Microwave Oven  (HIL2001GBPH, Black)",1.0,1.0,1.0,0.77
IFB 20 litre Convection Microwave Oven (Black),"IFB 20 L Convection Microwave Oven  (20BC5, Black)",1.0,1.0,1.0,0.86
IFB 20 litre Convection Microwave Oven (Black),"IFB 20 L Solo Microwave Oven  (20PM-MEC2B, BLACK)",1.0,1.0,1.0,0.77
IFB 20 litre Convection Microwave Oven (Black),"IFB 20 L Convection Microwave Oven  (20BC4, Black)",1.0,1.0,1.0,0.93
IFB 20 litre Convection Microwave Oven (Black),"IFB 20 L Convection Microwave Oven  (20BC4 With Touch Key Pad 1200 Watt, Black)",1.0,1.0,1.0,0.76
"IFB 20 L Convection Microwave Oven (20BC5, Black)","IFB 20 L Convection Microwave Oven  (20BC5, Black)",1.0,1.0,1.0,1.0
"IFB 20 L Convection Microwave Oven (20BC5, Black)","IFB 20 L Solo Microwave Oven  (20PM-MEC2B, BLACK)",1.0,1.0,1.0,0.77
"IFB 20 L Convection Microwave Oven (20BC5, Black)","IFB 20 L Convection Microwave Oven  (20BC4, Black)",1.0,1.0,1.0,0.93
"IFB 20 L Convection Microwave Oven (20BC5, Black)","IFB 20 L Convection Microwave Oven  (20BC4 With Touch Key Pad 1200 Watt, Black)",1.0,1.0,1.0,0.76
"IFB 20 L Convection Microwave Oven (20SC2, Metallic Silver, With Starter Kit), STANDARD","IFB 20 L Grill Microwave Oven  (20PG4S, Metallic Silver)",1.0,1.0,1.0,0.61
"IFB 20 L Convection Microwave Oven (20SC2, Metallic Silver, With Starter Kit), STANDARD","IFB 20 L Metallic silver Convection Microwave Oven  (20SC2, Silver)",1.0,1.0,1.0,0.78
"IFB 20 L Grill Microwave Oven (20PG4S, Black/ Silver)","IFB 20 L Convection Microwave Oven  (20BC5, Black)",1.0,1.0,1.0,0.67
"IFB 20 L Grill Microwave Oven (20PG4S, Black/ Silver)","IFB 20 L Solo Microwave Oven  (20PM-MEC2B, BLACK)",1.0,1.0,1.0,0.72
"IFB 20 L Grill Microwave Oven (20PG4S, Black/ Silver)","IFB 20 L Convection Microwave Oven  (20BC4, Black)",1.0,1.0,1.0,0.72
"IFB 20 L Grill Microwave Oven (20PG4S, Black/ Silver)","IFB 20 L Convection Microwave Oven  (20BC4 With Touch Key Pad 1200 Watt, Black)",1.0,1.0,1.0,0.59
"Kenstar 20 L Convection Microwave Oven (KJ20CBG101, Black)","Kenstar 20 L Convection Microwave Oven  (M/O KJ20CBG101, Black)",1.0,1.0,1.0,1.0
"Kenstar 20 L Convection Microwave Oven (KJ20CBG101, Black)","Kenstar 20 L Solo Microwave Oven  (KM20SSLN, BLACK)",1.0,1.0,1.0,0.77
"LG 20 L Grill Microwave Oven (MH2044BP, Black)","LG 20 L Solo Microwave Oven  (MS2043DB.DB1QILN, Black)",1.0,1.0,1.0,0.77
"LG 20 L Grill Microwave Oven (MH2044BP, Black)","LG 20 L Solo Microwave Oven  (MS2043BP, Black)",1.0,0.71,1.0,0.71
"LG 20 L Grill Microwave Oven (MH2044BP, Black)","LG 20 L Grill Microwave Oven  (MH2044BP, Black)",1.0,1.0,1.0,1.0
"LG 20 L Grill Microwave Oven (MH2044BP, Black)","LG 20 L Solo Microwave Oven  (MS2043DB.DB1QILN, Black)",1.0,1.0,1.0,0.77
"LG 20 L Grill Microwave Oven (MH2044BP, Black)","LG 20 L Grill Microwave Oven  (MH2044DB, Black)",1.0,1.0,1.0,0.93
"LG 20 L Solo Microwave Oven (MS2043BP, Black, With Health Plus Menu & Steam Clean)","LG 20 L Solo Microwave Oven  (MS2043DB.DB1QILN, Black)",1.0,1.0,1.0,0.68
"LG 20 L Solo Microwave Oven (MS2043BP, Black, With Health Plus Menu & Steam Clean)","LG 20 L Solo Microwave Oven  (MS2043BP, Black)",1.0,0.71,1.0,0.73
"LG 20 L Solo Microwave Oven (MS2043BP, Black, With Health Plus Menu & Steam Clean)","LG 20 L Grill Microwave Oven  (MH2044BP, Black)",1.0,1.0,1.0,0.52
"LG 20 L Solo Microwave Oven (MS2043BP, Black, With Health Plus Menu & Steam Clean)","LG 20 L Solo Microwave Oven  (MS2043DB.DB1QILN, Black)",1.0,1.0,1.0,0.68
"LG 20 L Solo Microwave Oven (MS2043BP, Black, With Health Plus Menu & Steam Clean)","LG 20 L Grill Microwave Oven  (MH2044DB, Black)",1.0,1.0,1.0,0.57
"IFB 20 Litre Grill Microwave Oven (20PG4S, Black & Silver, With Starter Kit)","IFB 20 L Convection Microwave Oven  (20BC5, Black)",1.0,0.71,1.0,0.55
"IFB 20 Litre Grill Microwave Oven (20PG4S, Black & Silver, With Starter Kit)","IFB 20 L Solo Microwave Oven  (20PM-MEC2B, BLACK)",1.0,0.71,1.0,0.59
"IFB 20 Litre Grill Microwave Oven (20PG4S, Black & Silver, With Starter Kit)","IFB 20 L Convection Microwave Oven  (20BC4, Black)",1.0,0.71,1.0,0.59
"IFB 20 Litre Grill Microwave Oven (20PG4S, Black & Silver, With Starter Kit)","IFB 20 L Grill Microwave Oven  (20PG4S, Metallic Silver)",1.0,0.71,1.0,0.71
"IFB 20 Litre Grill Microwave Oven (20PG4S, Black & Silver, With Starter Kit)","IFB 20 L Metallic silver Convection Microwave Oven  (20SC2, Silver)",1.0,0.71,1.0,0.52
"IFB 20 Litre Grill Microwave Oven (20PG4S, Black & Silver, With Starter Kit)","IFB 20 L Convection Microwave Oven  (20BC4 With Touch Key Pad 1200 Watt, Black)",1.0,0.71,1.0,0.58
"Panasonic 20L Solo Microwave Oven (NN-ST26JMFDG, Silver, 51 Auto Menus)","Panasonic 20 L Solo Microwave Oven  (NN-ST26JMFDG, Silver)",1.0,1.0,1.0,0.75
"Panasonic 20L Solo Microwave Oven (NN-ST266BFDG, Black, 51 Auto Menus)","Panasonic 20 L Solo Microwave Oven  (NN-SM25JBFDG, Black)",1.0,1.0,1.0,0.68
"Panasonic 20L Solo Microwave Oven (NN-ST266BFDG, Black, 51 Auto Menus)","Panasonic 20 L Solo Microwave Oven  (NN-ST266BFDG, BLACK)",1.0,1.0,1.0,0.75
"Panasonic 20L Solo Microwave Oven (NN-ST266BFDG, Black, 51 Auto Menus)","Panasonic 20 L Convection Microwave Oven  (NN-CT254BFDG, Black)",1.0,1.0,1.0,0.57
"Voltas Beko 20 L Convection Microwave Oven, 10 power levels (MC20SD, Silver)","Voltas Beko 20 L Smart Convection Microwave Oven  (MC20SD, Silver)",1.0,1.0,1.0,0.8
